"Response ID","Date submitted","Last page","Start language","Date started","Date last action","IP address","Dieses Survey dient dazu die NLQ-Fragebögen zu digitalisieren. Bei Fragen wenden Sie sich bitte an ihren Auftraggeber! Möge die Arbeit schnell und entspannend von der Hand gehen!","Links unten befindet sich ein Schul-code (z.B. GSWF100). Trage diesen hier ein:","Auf dem Fragebogen ist unten links eine Zahl mit Kugelschreiber hinzugefügt worden (z.B. 1). Trage diese hier ein:","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [ich möchte mehr über Informatik und Technik lernen.]","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [Ich möchte später einen Beruf haben, der wenig mit Computern und Technik zu tun hat.]","Hier die Antwort zu Geschlecht übertragen."
"9","2018-11-12 13:23:33","1","en","2018-11-12 13:21:56","2018-11-12 13:23:33","134.106.27.171","","GSWF115","1","Wie viele Handys es auf der Welt gibt?","Gibe es Handys die Wasser aushalten konnen?","Gibt es Fernseher die ohne Ferbedienung und ohne Strom auf dem Bildschirm ein Fußballspiel zeigen können?","","","","","","","","","","","","","2","3","3","4","1","Junge"
"11","","","en","2018-12-19 12:47:56","2018-12-19 12:47:56","134.106.27.171","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","en","2018-12-20 09:49:51","2018-12-20 09:49:51","10.18.1.136","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","","en","2018-12-20 12:42:11","2018-12-20 12:42:11","93.216.19.40","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","","en","2018-12-21 11:15:12","2018-12-21 11:15:12","95.90.203.4","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2019-01-04 11:15:33","1","en","2019-01-04 11:15:33","2019-01-04 11:15:33","93.216.27.122","","GSWF102-3","1","Wielange giptes schom inter-net?","","","","","","","","","","","","","","","2","2","2","","1","Mädchen"
"17","2019-01-04 11:17:12","1","en","2019-01-04 11:15:36","2019-01-04 11:17:12","93.216.27.122","","GSWF102-3","2","Mit welchem naterial arbeitet ihr?","","","","","","","","","","","","","","","1","1","1","1","5","Junge"
"18","2019-01-04 11:19:18","1","en","2019-01-04 11:17:15","2019-01-04 11:19:18","93.216.27.122","","GSWF102-3","3","Wie eine PS4 gebaut wirt?","Wie wurde der erste Fehrnsehr gebaut","Was ist ein E-Book?","","","","","","","","","","","","","2","1","3","4","1","Junge"
"19","2019-01-04 11:27:04","1","en","2019-01-04 11:19:21","2019-01-04 11:27:04","93.216.27.122","","GSWF102-3","4","Wie heist nspaswort von internet?","Wie ba // ud man computer z. B Nepo","","","","","","","","","","","","","","1","2","2","2","5","Junge"
"20","2019-01-04 11:28:18","1","en","2019-01-04 11:27:09","2019-01-04 11:28:18","93.216.27.122","","GSWF102-3","5","Wie ist mann zu Lektronig gekommen?","","","","","","","","","","","","","","","1","2","2","2","5","Mädchen"
"22","2019-01-04 11:31:56","1","en","2019-01-04 11:31:09","2019-01-04 11:31:56","93.216.27.122","","GSWF102-3","6","Wie File Apps giptes imm internet?","Wie Baut ir roboters","","","","","","","","","","","","","","1","2","3","4","2","Mädchen"
"24","2019-01-04 11:33:37","1","en","2019-01-04 11:33:37","2019-01-04 11:33:37","93.216.27.122","","GSWF102-3","7","Wie hast du ein Handy gebaut.","Wie viele Roboters, Handy gemacht.","","","","","","","","","","","","","","1","1","1","5","2","Junge"
"25","2019-01-04 11:35:19","1","en","2019-01-04 11:33:39","2019-01-04 11:35:19","93.216.27.122","","GSWF102-3","8","Gibt es ein Hendie das ale Äps Haht?","Wie endsted das internet?","","","","","","","","","","","","","","2","1","2","1","4","Junge"
"26","2019-01-04 11:39:05","1","en","2019-01-04 11:35:24","2019-01-04 11:39:05","93.216.27.122","","GSWF102-3","9","Wie werden die Nachichten zu ein anderen geleitet wirden kan.","Was ist brogramiren und wie get das.","","","","","","","","","","","","","","2","2","1","3","4","Mädchen"
"27","2019-01-04 11:41:48","1","en","2019-01-04 11:39:18","2019-01-04 11:41:48","93.216.27.122","","GSWF102-3","10","Wie baut man ein Roboter?","Wie entsteht Internet?","Wo her kommt der Computer?","Wo her kommt der Roboter?","Was ist programieren?","","","","","","","","","","","1","3","5","4","1","Mädchen"
"28","2019-01-04 11:43:07","1","en","2019-01-04 11:41:56","2019-01-04 11:43:07","93.216.27.122","","GSWF102-3","11","gipt es ferschidene kompchuter","","","","","","","","","","","","","","","1","2","1","4","1","Mädchen"
"29","2019-01-04 11:45:43","1","en","2019-01-04 11:43:17","2019-01-04 11:45:43","93.216.27.122","","GSWF102-3","12","Haben Sie einen Robotergebaut der sogros ist wie ein Mensch?","Haben Sie ein Roboter gebaut der führ den Haushald zustendig ist","","","","","","","","","","","","","","1","1","3","2","3","Junge"
"30","2019-01-04 11:48:06","1","en","2019-01-04 11:45:49","2019-01-04 11:48:06","93.216.27.122","","GSWF102-3","13","Wi kan internet Ersteln?","wie Baut man Ein Robeter?","Was kamman Mit Einen Roberter Machen?","","","","","","","","","","","","","2","1","3","3","2","Mädchen"
"31","2019-01-04 11:49:30","1","en","2019-01-04 11:48:14","2019-01-04 11:49:30","93.216.27.122","","GSWF102-3","14","Was Kanman mit sowas anfang?","Wie ist das internet in standen?","","","","","","","","","","","","","","1","1","3","1","4","Mädchen"
"32","2019-01-04 11:53:11","1","en","2019-01-04 11:49:40","2019-01-04 11:53:11","93.216.27.122","","GSWF102-3","15","Wiso enstehe Wideos nur im interned?","Wie entsteht internet","Was ist programird","","","","","","","","","","","","","2","1","2","5","4","keine Antwort"
"33","2019-01-04 11:54:50","1","en","2019-01-04 11:53:18","2019-01-04 11:54:50","93.216.27.122","","GSWF102-3","16","Wie funxonirt das Hendi?","Wie kaman compüter machen?","Was ist Program?","","","","","","","","","","","","","3","4","2","4","1","keine Antwort"
"34","2019-01-04 11:56:08","1","en","2019-01-04 11:54:57","2019-01-04 11:56:08","93.216.27.122","","GSWF102-3","17","Wie programis man einen Rabotar?","","","","","","","","","","","","","","","5","1","3","2","1","Mädchen"
"35","2019-01-04 11:59:36","1","en","2019-01-04 11:57:05","2019-01-04 11:59:36","93.216.27.122","","GSWF102","1","Wie sie auf die Idee gekommen sind sachen zu erfinden?","Wie viele Handys giebt es?","Wer hat das Internet erfunden?","Wann wurden Roboters erfunden und von wehm?","","","","","","","","","","","","2","2","1","4","1","Mädchen"
"36","2019-01-04 12:02:24","1","en","2019-01-04 11:59:52","2019-01-04 12:02:24","93.216.27.122","","GSWF102","2","Wie ist der Roboter entstanden?","Wie ist Internet entstanden?","","","","","","","","","","","","","","1","2","1","3","1","Junge"
"37","2019-01-04 12:03:04","1","en","2019-01-04 12:02:31","2019-01-04 12:03:04","93.216.27.122","","GSWF102","3","","","","","","","","","","","","","","","","1","2","1","3","2","Junge"
"38","2019-01-04 12:04:44","1","en","2019-01-04 12:03:28","2019-01-04 12:04:43","93.216.27.122","","GSWF102","4","Was kann der Roboter alles?","Wie funktioniert das Internet?","Was passiert bei den Ezperimenten?","","","","","","","","","","","","","2","2","2","5","5","Mädchen"
"39","2019-01-04 12:06:35","1","en","2019-01-04 12:04:49","2019-01-04 12:06:35","93.216.27.122","","GSWF102","5","Wi fungsonirt ein handi","Warum kann mann am Copluter so fil machen","Wie wurd ein roboter Zusamengesetzt","","","","","","","","","","","","","1","1","1","1","1","Junge"
"40","2019-01-04 12:08:03","1","en","2019-01-04 12:06:59","2019-01-04 12:08:03","93.216.27.122","","GSWF102","6","Wie lange sind sie schon Experten in Technig?","","","","","","","","","","","","","","","1","2","3","","4","Mädchen"
"41","2019-01-04 12:09:31","1","en","2019-01-04 12:08:12","2019-01-04 12:09:31","93.216.27.122","","GSWF102","7","Wie lange haben sie gebraucht u such so gut aus zu ken in mit so fil technich","","","","","","","","","","","","","","","1","1","5","4","3","Mädchen"
"42","2019-01-04 12:12:45","1","en","2019-01-04 12:10:56","2019-01-04 12:12:45","93.216.27.122","","GSWF102","8","Wie Technik überhaubt geht und wie das Fernsehn gesteuert würd","Wie viele Technik sachen es insgesamt auf der Welt giebt","","","","","","","","","","","","","","1","1","3","3","2","Mädchen"
"43","2019-01-04 12:15:28","1","en","2019-01-04 12:13:41","2019-01-04 12:15:28","93.216.27.122","","GSWF102","9","Wie werden computer zusammengesetzt","Wie Funktionieren computer","","","","","","","","","","","","","","2","5","2","5","5","Junge"
"44","2019-01-04 12:17:02","1","en","2019-01-04 12:15:38","2019-01-04 12:17:02","93.216.27.122","","GSWF102","10","Wie ist es möglich alles zu wissen?","Waurum machen Elecktrische Sachen süchtig?","","","","","","","","","","","","","","1","1","3","3","2","Mädchen"
"45","2019-01-04 12:18:21","1","en","2019-01-04 12:17:13","2019-01-04 12:18:21","93.216.27.122","","GSWF102","11","Könen compute, Handys, Internet, Roboter eksplodiren?","","","","","","","","","","","","","","","2","3","4","4","2","Mädchen"
"46","2019-01-04 12:21:27","1","en","2019-01-04 12:19:04","2019-01-04 12:21:27","93.216.27.122","","GSWF102","12","wie bist du auf das Handy kekom.","oder auf die anderen sachen","","","","","","","","","","","","","","2","3","1","4","2","Mädchen"
"47","2019-01-04 12:23:53","1","en","2019-01-04 12:21:32","2019-01-04 12:23:53","93.216.27.122","","GSWF102","13","etwas über computer viren","wie die vunkzuniren?","und über Programirong","","","","","","","","","","","","","1","1","2","2","3","Junge"
"48","2019-01-04 12:26:10","1","en","2019-01-04 12:25:10","2019-01-04 12:26:10","93.216.27.122","","GSWF102","14","Kan man überhaubt da jeden Tag am computer abeiten?","","","","","","","","","","","","","","","1","2","3","5","5","keine Antwort"
"49","2019-01-04 12:26:46","1","en","2019-01-04 12:26:15","2019-01-04 12:26:46","93.216.27.122","","GSWF102","15","","","","","","","","","","","","","","","","3","2","3","4","1","Mädchen"
"50","2019-01-04 12:27:53","1","en","2019-01-04 12:26:54","2019-01-04 12:27:53","93.216.27.122","","GSWF102","16","Wie vongsonirt Informatig","","","","","","","","","","","","","","","1","5","4","2","1","Junge"
"51","2019-01-04 12:29:39","1","en","2019-01-04 12:27:57","2019-01-04 12:29:39","93.216.27.122","","GSWF102","17","Wie kann man mit dem Handy telofoniren.","","","","","","","","","","","","","","","1","2","3","2","4","Junge"
"52","2019-01-04 12:30:55","1","en","2019-01-04 12:29:56","2019-01-04 12:30:55","93.216.27.122","","GSWF102","18","Wie werden Handys zussamenge-setzt.","","","","","","","","","","","","","","","1","2","3","3","2","Mädchen"
"53","2019-01-04 12:31:42","1","en","2019-01-04 12:31:05","2019-01-04 12:31:42","93.216.27.122","","GSWF102","19","Ob bald ein neues gerät kommt.","","","","","","","","","","","","","","","1","1","3","2","3","Junge"
"54","2019-01-04 12:32:29","1","en","2019-01-04 12:31:49","2019-01-04 12:32:29","93.216.27.122","","GSWF102","20","Woher weißt du das t alles?","","","","","","","","","","","","","","","3","4","3","4","1","Mädchen"
"55","2019-01-06 18:19:51","1","en","2019-01-06 18:15:39","2019-01-06 18:19:51","93.216.29.88","","GSWF103","1","Wie kann mann ein Roboter zum geben bringen?","Woraus besteht ein Handy?","Kennst du mehr programmirungs seiten als Nepo?","Gibt es fliegende Boards/Autos?","Wie könnte die Zukunft aussehen?","","","","","","","","","","","1","1","1","1","4","Junge"
"56","2019-01-06 18:20:52","1","en","2019-01-06 18:19:54","2019-01-06 18:20:52","93.216.29.88","","GSWF103","2","Wie Fiele Festplaten hat ein Kompjuter?","","","","","","","","","","","","","","","1","1","2","3","2","Mädchen"
"57","2019-01-06 18:22:30","1","en","2019-01-06 18:21:14","2019-01-06 18:22:30","93.216.29.88","","GSWF103","3","Wie groß kannein Handy werden?","","","","","","","","","","","","","","","1","3","2","4","1","Junge"
"58","2019-01-06 18:23:50","1","en","2019-01-06 18:22:31","2019-01-06 18:23:50","93.216.29.88","","GSWF103","4","Könnte man einen Robter so bauen dass er eine Achterban bauen erichtet?","","","","","","","","","","","","","","","1","3","1","3","3","Junge"
"59","2019-01-06 18:25:02","1","en","2019-01-06 18:23:52","2019-01-06 18:25:02","93.216.29.88","","GSWF103","5","Woher kann das internet ales wisen?","und warum kan Siri uns Hören?","","","","","","","","","","","","","","1","2","3","4","2","Mädchen"
